id,attribute_ids
1008abd71f3ed5bc,70
100ef61c00e1b5d3,25
101534933c122e23,25
10219d8d2441fd3c,18
1033055830394850,42
10984ac8d2c0e354,70
10c5899973a8203e,14
10c79c480c233921,29
10d0648ca103ff8e,29
10de9b91be65e19a,29
10e1d261b7e5e88a,45
10eb71ce135652c9,70
10fc2f111037514b,44
10fede70ff77e297,32
1103c185f14d21d8,70
1117f9f63117db86,29
112986494dda8a7a,33
1132ece7c83a0a60,58
11378b29222f87b0,25
113c5cb9f543ee9a,25
1147b86f64c41408,35
1147d6155099b7f8,58
1148bd0d9fbcadaa,29
115836bfcaa5ff14,25
115a24d07e53976,41
11697a6044e5648e,70
11832a3d4429b603,29
11849d839d6daa26,60
118647bb47352602,65
11883b5a6c2506c9,1
11884e2be9dd8d1c,35
11990bd9e816160e,24
11a6e5103e3b116e,14
11a993ecec737946,1
11ab6021b4316ea1,70
11bb24eb45cfe7a4,1
11c432a967ccd29a,23
11c7143510270a1f,43
11c7d86de428f4d9,1
11cc9b64741422cd,23
11d071ea4fba2727,42
11d87fa980835416,33
11e671be73eea67d,25
11e8f0f49af21c9c,70
11eb0239160e9798,29
11f8e7e46efcbbb3,61
12074c9aa2d905b9,2
1207d754bd632aac,70
1208015133628325,29
1208b3aa536af605,70
1209fbce7aa42bb1,70
1214ad77ea9c2743,26
121b964d05cf2bf0,25
12265be4a51ba3cb,14
1235646e7b3d9808,70
124702139d603ec5,32
1270f4cf86912888,58
12757a787ac947ac,45
127a1b7ef9b87582,70
127d34402cb91d14,23
12815dba5ce422fa,14
1295ce178d24e5ff,45
12969885908b167b,58
129b424e76248331,33
129f30943da46229,61
12a406b9d6160755,25
12b33d0c68d19300,2
12c0e3618adfc6d1,35
12c13e4d72a14ea9,70
12e204772af817d9,29
12e837945123e8b7,58
12e8a858ccefb86c,45
1304f70ac72faab1,70
1308cfbb2d2ab6db,58
131ef4232ed70b9,33
131ff43e5b419a6d,61
1321a1ad7468afd1,41
132d0c0da30daec8,70
132f1ce85b96b27b,26
1336613c79952058,65
133c8cfb76b29dce,15
133d9d6894b92124,33
13463cfd01364bc4,14
135c951fcd53dac1,18
135f1a4dd454961b,70
136c079b27c71784,29
1378e8c2a500a114,25
137ee0a0168485f7,25
13854a400ee53234,45
1388b8c0f2a3149d,14
138b1d0ebbbd8830,61
138d38d4ab06697d,33
138fc20076d01896,18
139c0fecfebe53c0,14
139e565aa786cbe6,45
13a0dc44013dfe15,29
13a799e3be10c53b,70
13b9736c296cc70a,29
13bf25bedc08fba2,25
13c03d4c9e5bb97f,52
13d2147d73fbe02d,25
1409356df77d8f43,25
14195b382148536f,58
1421287f61358cb0,70
143323168c63e61d,45
143730bb8cec891e,52
143e1202b4a4afa3,23
145a74c34a6d8e2c,70
147b21e104ad416a,41
14821cf32f41a7e0,70
149e4d3e076de2,65
14b35e88bc1d595f,70
14b476ad2c14682,14
14b648cab7b7f7c1,70
14d0843bcb3102ba,58
14d213c664a18763,29
14dccc5f48f6919f,45
14e5af77189e57d0,33
14e914dd99b2a43d,25
14ecc980afb3e0e7,32
14eeb3e129ad931,70
150a9cf3c2ee25e4,44
1513d83e954bdc2a,56
152fcaa33d637fbd,70
153033445c4ff7c8,55
153306421861a448,23
153859df743a2f06,70
153c983758044b17,52
1540aa64355595b3,41
1559008b79376d62,23
157374985f811b00,33
1579276ed255ecb1,29
1586c2c1aaa5dab3,17
1595f3e3c8254007,70
159ac383865ca834,14
159c1271054037a4,26
15be499102aa5502,1
15c033b32eff3a1d,38
15c84df36030fc5c,70
15d83257bed13cd9,25
15defe191f15f73b,25
15efb1c9061a071c,23
15f0fb2d585fce12,56
15fa651a009d5534,25
15fbc20e181e8e01,14
15fe2b987dbdc8a4,70
15ffbacb4d4712f7,42
160d58df5773c7b6,45
1615ec8c2c09e28e,45
1618f5c8bc528fda,14
161974a7c0c633d6,29
161b5724190b25c4,25
162168c41fbb119f,45
162b7b3207350943,25
1636cbcf2ddb4932,2
1636ceb6e2105645,25
1638ce094c94928,45
1639d780e7ea83c0,60
1642c3d1df12f157,45
1657916568c90d50,70
1662f0328173d803,25
1667ef69621fa4c0,18
1673c88cec20b4ba,26
167589218dc0580e,40
167de0b90ab0ed95,40
1681089686727e6c,29
168246ee5d6fd2cd,58
16865c64568e787,23
1695e66e7a8b27cf,1
16a4b71e96603cd0,29
16aabef4616ad481,45
16af46768b878ffb,35
16afb9d9bf441246,32
16bf42d7488976b7,55
16f1aee921aea335,70
16f404ebbd5a5143,23
16fa6f748b2cb7c8,18
170dac24d42f5192,60
1716bf154eed0747,25
1717d168cd53281d,32
171ea42d53e8ccc0,14
17275a1da1ddeb2f,45
17416b8b9176ff83,45
17592863cce92bb5,23
17601e319593b16a,35
177598b647055ed,33
1788cbb4b16a92ef,29
178e4a2020856ebc,45
179062301fb392e5,33
17917d0d8459a555,33
17935d7d2520ab0c,60
179560fc31903fda,45
1796ac17b92d29a7,29
17c6a47f882ab907,14
17c886c6236fc0de,62
17d6f42dedd57e72,42
17da230c9809d9c0,70
17e18f0f2f22f308,49
17e7e758d1ef3fbb,46
17f05b475d5e1997,26
17f0f611fef612ab,26
17f2f50d99cb1766,58
17f9d73aad66166,25
180604dc7128035e,70
180d6c91cd79946a,70
18130b3f13537c97,25
18163358d80cbe1f,58
18173694b8ff0522,14
18197256c64cc877,41
1823a31a775f1b51,58
184c9d2a1b98dca4,25
18597ab82c31fab9,25
185c5ebab2e0ae00,45
185c9da66fb503e6,18
187781813265eb7b,70
187f68251659ee0d,29
188358488e285fab,40
188d2f739345c262,29
18d01ce84df0eba6,45
18db10ecb4f7f79d,25
18de774092cef3b2,55
18e209a846bf7a83,70
18ea4115570d1ea2,70
1904c0a7be224f56,29
190d25cadb19c06b,70
190ea9a79d797c93,70
192411cb1cea5345,60
1924703752a8923c,70
1925ff3a3f6fa39c,58
192df301a95f15ed,45
193c9ec4c167bd8d,23
195c38116248e08e,61
196aaa851fc31448,25
197bfc706e88ba05,60
198077241b5de39c,29
198fdb2208fe6a7b,15
19936e5d4a692fc0,32
19c0775805b3fcc6,14
19c2e2467df7d826,45
19c4f0df9242b7d1,25
19d20a975f93cc38,70
19d8743a37c29c1b,70
1a01276d20e4591e,15
1a097fac2f2dffee,70
1a0d0e5283259676,58
1a163bf3f2937430,35
1a1b818ac3c442d9,28
1a2e5accf8ad0bda,70
1a36c73e2317845b,61
1a37d1a15bbd0986,29
1a401113c9c081a3,25
1a41d5c7867f974d,14
1a7c99f722821de7,29
1a8a36f24b274fa7,35
1a9ff530d8abb269,35
1aa74f8682078efa,29
1aa9764430d72e76,15
1acf8c04867e136c,29
1ad183c15179dee9,41
1add15dc02a217dc,70
1ade2ed5dd0a6da8,23
1ae96cfcb1b6900f,58
1aee6d2024c2ec45,45
1af22eb87ea8682e,23
1af44c61bd73b851,70
1af9fca501dfe951,25
1afac3799a174683,67
1afc4e3bbd8d8569,25
1b10318206dcaed3,33
1b162c14fdc86b91,23
1b2512b84bd05107,70
1b28110315348b2b,14
1b416e424fe00297,45
1b45fb03d6fa8a67,70
1b4a7558c4d7e61a,45
1b580bae6a0c8b0f,43
1b615e8d1f3c09d2,45
1b61c8fc3e17c89f,33
1b635962191ff2,45
1b6b80dd6aff010f,70
1b70e0dbf3830d89,55
1b73d57ee97983f,45
1ba6deae174d09dd,45
1baa7d0050eaeafa,18
1bba09d1d33eef16,14
1bbac10917171e59,23
1bbb0ca744cc46a,32
1bbcfa209ca7f36a,1
1be0866d416e3553,58
1bf759bebb16f44,70
1c08d4968e97ee8d,9
1c12e7e39deae10f,29
1c2b65972db5369b,29
1c2bd6e60590a9ff,45
1c2ca3fde5ce01c6,70
1c3b4b6d6c1db34,29
1c503b5cecd5df77,45
1c525af7ff1ec4e3,43
1c5bbc5938d56f4b,1
1c5f441053fb1a76,61
1c67e6d29aac385f,25
1c7c0c652d4e0bfe,23
1c8fd602d20c29a3,14
1c957139593f1d4f,45
1ca15d52ad78958f,45
1caf97b7942d92de,25
1cbc6d4864d63eee,70
1cbcad8f6b4da3b2,45
1cc4c9dfd553cfb3,25
1ce19d16d29ba950,25
1cf43dc86f9764f,70
1cfc598032ef6336,70
1cfd52a6fc25f02f,25
1d06cf5c7c2b1d71,26
1d0bc3dda5089046,55
1d1400d9066a3c75,29
1d1996ace349392b,45
1d2eaaeba8849eb1,35
1d30538af834f92f,58
1d32ca66d362e7d8,41
1d3a7e252d20495f,70
1d4c80af2c683fd6,70
1d5447b9af4686d5,25
1d60ecb432f8a395,14
1d6e5da432b1eb1d,58
1d79dea05af43908,1
1d8493331ee2b285,41
1da58d328f650aaa,22
1daf262930e59682,28
1db5af50b440be51,33
1dc8943c2fb2c5f1,65
1dd884ef1663e3c8,65
1ddfbbf73b39b6b1,45
1e03f7566539586b,70
1e0a64b48087989e,43
1e11e07fc0064c1b,58
1e2e88dadd83868e,42
1e3712fc6973e697,23
1e4252ac801bdcaa,45
1e47eeada8a1fc00,25
1e4f405a4b36893b,58
1e5f94736981850c,14
1e74b40f70d25714,69
1ea685ccb778517e,23
1ea7c8219db7bd37,33
1eb4f8e9e0874974,18
1ec5b3e5328da438,35
1ec5de286444c03c,33
1ec6aae7807d655a,61
1ec725dc0769e587,29
1ed333cd2f8c2337,70
1ed61b01c28fe2db,45
1edf92dd8c941e0a,14
1ee22ded187fa1cd,44
1ee3a7618283d47,1
1ee6b467e99d0f06,35
1ef2259e57daf8bd,70
1ef6eb0537f46794,0
1f04621943b3f5d8,26
1f20d1920afc6588,25
1f21ddf6746bc7d3,58
1f2d6eadf49b599a,65
1f3cc594605e8c5f,25
1f4b6d635d4b9a2a,23
1f4bfbf647b755ba,69
1f5cdc44012428c1,29
1f7048129f9f0952,23
1f7909924fb470,70
1f97656b360975e1,41
1fad69ed268ac538,25
1fb4e9e2b2f99c72,14
1fcb8a1fa2f92024,25
1fd0d363f7cdd685,29
1fd7c99d6324fa5e,25
1fdc335bc84e337,70
1fe90fe3471a3385,65
1ff154133d4bdd94,42
1ff62a2c378227a3,9
20023f2f09f4ec5f,70
200b61892951b3c9,29
201426896a32540c,45
2015d832582a2f0e,29
2018cd350bb169c4,24
2019160474775454,66
201bcd2b50b94c73,46
203fd92d7e4985b2,25
20428799c9d916fc,41
20444f6c5e88474e,42
204ba338d0e14587,56
20621c1b4d95b083,61
2068a5e425a28eb8,35
20753ee6dc0fdd78,25
2087e4b705420e7d,45
20ad33c2c18f989b,45
20b42e78586522ea,14
20b60fb8111ec1f8,32
20c217ea6e24d3b0,23
20cefa3c61135f9f,70
20d2e47bb38894d5,70
20d37320d570fdd,25
20e48d145d7062ff,26
20e4fa08ae7994e8,45
20e5c91286588337,22
20ef29b75255a3d6,45
20ff0b769e12a13f,45
20ff45e9bd9aaf67,45
211ebd650981193e,70
212936ee945e5deb,32
212c34cd2fdf08f3,33
2156f13a022614a7,43
215cc51826a7b6a,70
2169610876676307,18
216d4b60904af5e3,70
216f69f4a8453e6c,33
21763ff3e072ef76,14
